epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,36.5859,0.41989,0.42267,0.84868,0.91134,1,0.995,0.87032,0.49714,0.44758,0.85258,0.000848093,0.000848093,0.000848093
83,37.0094,0.45521,0.42882,0.83448,0.91134,1,0.995,0.87032,0.49714,0.44758,0.85258,0.000854696,0.000854696,0.000854696
84,37.4388,0.45337,0.41601,0.83856,0.92009,1,0.995,0.86539,0.51747,0.41392,0.83411,0.000861205,0.000861205,0.000861205
85,37.8582,0.39504,0.37069,0.81131,0.92009,1,0.995,0.86539,0.51747,0.41392,0.83411,0.00086762,0.00086762,0.00086762
86,38.3668,0.37759,0.36885,0.83037,0.92009,1,0.995,0.86539,0.51747,0.41392,0.83411,0.000873941,0.000873941,0.000873941
87,38.7814,0.44828,0.41549,0.87599,0.92009,1,0.995,0.86539,0.51747,0.41392,0.83411,0.000880167,0.000880167,0.000880167
88,39.2342,0.36988,0.37264,0.81108,0.93218,1,0.995,0.82572,0.52633,0.4325,0.83034,0.000886299,0.000886299,0.000886299
89,39.6752,0.43698,0.44199,0.81499,0.93218,1,0.995,0.82572,0.52633,0.4325,0.83034,0.000892336,0.000892336,0.000892336
90,40.097,0.48259,0.40147,0.80537,0.93218,1,0.995,0.82572,0.52633,0.4325,0.83034,0.000898279,0.000898279,0.000898279
91,40.5112,0.45015,0.40005,0.79933,0.93218,1,0.995,0.82572,0.52633,0.4325,0.83034,0.000904128,0.000904128,0.000904128
92,40.9391,0.47425,0.38889,0.83004,0.90351,1,0.995,0.82317,0.53022,0.41342,0.86582,0.000909883,0.000909883,0.000909883
93,41.3554,0.45077,0.42509,0.84919,0.90351,1,0.995,0.82317,0.53022,0.41342,0.86582,0.000915543,0.000915543,0.000915543
94,41.7708,0.43489,0.4211,0.87694,0.90351,1,0.995,0.82317,0.53022,0.41342,0.86582,0.000921109,0.000921109,0.000921109
95,42.2127,0.37698,0.40403,0.78632,0.90351,1,0.995,0.82317,0.53022,0.41342,0.86582,0.000926581,0.000926581,0.000926581
96,42.7687,0.42096,0.43783,0.80942,0.90853,1,0.995,0.85016,0.50709,0.42294,0.91336,0.000931958,0.000931958,0.000931958
97,43.1835,0.42797,0.39235,0.83769,0.90853,1,0.995,0.85016,0.50709,0.42294,0.91336,0.000937241,0.000937241,0.000937241
98,43.5984,0.36864,0.34746,0.82774,0.90853,1,0.995,0.85016,0.50709,0.42294,0.91336,0.00094243,0.00094243,0.00094243
99,44.0136,0.41629,0.36841,0.83677,0.90853,1,0.995,0.85016,0.50709,0.42294,0.91336,0.000947524,0.000947524,0.000947524
100,44.4417,0.37291,0.36807,0.80469,0.93556,1,0.995,0.84578,0.49309,0.43454,0.87647,0.000952524,0.000952524,0.000952524
101,44.8575,0.35947,0.36434,0.81183,0.93556,1,0.995,0.84578,0.49309,0.43454,0.87647,0.00095743,0.00095743,0.00095743
102,45.3005,0.39738,0.36861,0.85014,0.93556,1,0.995,0.84578,0.49309,0.43454,0.87647,0.000952714,0.000952714,0.000952714
103,45.7401,0.39422,0.38961,0.80493,0.93556,1,0.995,0.84578,0.49309,0.43454,0.87647,0.000947999,0.000947999,0.000947999
104,46.1703,0.42954,0.37468,0.85452,0.92759,1,0.995,0.86005,0.44778,0.41531,0.85963,0.000943283,0.000943283,0.000943283
105,46.5857,0.42897,0.39053,0.87895,0.92759,1,0.995,0.86005,0.44778,0.41531,0.85963,0.000938567,0.000938567,0.000938567
106,47.0983,0.37774,0.38744,0.80732,0.92759,1,0.995,0.86005,0.44778,0.41531,0.85963,0.000933851,0.000933851,0.000933851
107,47.5144,0.35664,0.34877,0.81199,0.92759,1,0.995,0.86005,0.44778,0.41531,0.85963,0.000929136,0.000929136,0.000929136
108,47.9467,0.42289,0.37423,0.84505,0.92848,1,0.995,0.89885,0.43068,0.35754,0.83973,0.00092442,0.00092442,0.00092442
109,48.4207,0.42684,0.37029,0.82285,0.92848,1,0.995,0.89885,0.43068,0.35754,0.83973,0.000919704,0.000919704,0.000919704
110,48.8866,0.3699,0.37981,0.81719,0.92848,1,0.995,0.89885,0.43068,0.35754,0.83973,0.000914989,0.000914989,0.000914989
111,49.3304,0.49324,0.41123,0.88302,0.92848,1,0.995,0.89885,0.43068,0.35754,0.83973,0.000910273,0.000910273,0.000910273
112,49.7859,0.39128,0.37568,0.82828,0.95178,0.99909,0.995,0.87754,0.4612,0.37526,0.85091,0.000905557,0.000905557,0.000905557
113,50.2019,0.35416,0.34997,0.79882,0.95178,0.99909,0.995,0.87754,0.4612,0.37526,0.85091,0.000900842,0.000900842,0.000900842
114,50.6164,0.39194,0.36931,0.8213,0.95178,0.99909,0.995,0.87754,0.4612,0.37526,0.85091,0.000896126,0.000896126,0.000896126
115,51.0496,0.43574,0.39704,0.85564,0.95178,0.99909,0.995,0.87754,0.4612,0.37526,0.85091,0.00089141,0.00089141,0.00089141
116,51.6004,0.4723,0.42504,0.90584,0.985,1,0.995,0.88471,0.43118,0.34548,0.82222,0.000886694,0.000886694,0.000886694
117,52.0236,0.37361,0.33103,0.81494,0.985,1,0.995,0.88471,0.43118,0.34548,0.82222,0.000881979,0.000881979,0.000881979
118,52.4379,0.43101,0.34456,0.85033,0.985,1,0.995,0.88471,0.43118,0.34548,0.82222,0.000877263,0.000877263,0.000877263
119,52.8549,0.36554,0.34809,0.81388,0.985,1,0.995,0.88471,0.43118,0.34548,0.82222,0.000872547,0.000872547,0.000872547
