epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,93.7766,0.28914,0.25421,0.79148,0.98776,1,0.995,0.93654,0.30698,0.2484,0.76173,0.000877263,0.000877263,0.000877263
119,94.5807,0.27623,0.24028,0.79051,0.98627,1,0.995,0.92888,0.31709,0.23888,0.76194,0.000872547,0.000872547,0.000872547
120,95.3938,0.32269,0.29489,0.80543,0.98532,1,0.995,0.9559,0.27105,0.23317,0.76116,0.000867832,0.000867832,0.000867832
121,96.1563,0.29221,0.26524,0.80267,0.98532,1,0.995,0.9559,0.27105,0.23317,0.76116,0.000863116,0.000863116,0.000863116
122,96.9249,0.30867,0.25733,0.81201,0.98572,1,0.995,0.94271,0.24803,0.23656,0.76099,0.0008584,0.0008584,0.0008584
123,97.746,0.26817,0.2874,0.79927,0.98373,1,0.995,0.93619,0.2872,0.25129,0.76455,0.000853685,0.000853685,0.000853685
124,98.6387,0.27395,0.28193,0.81275,0.98531,1,0.995,0.95205,0.30628,0.24107,0.76416,0.000848969,0.000848969,0.000848969
125,99.4025,0.27215,0.28435,0.79485,0.98531,1,0.995,0.95205,0.30628,0.24107,0.76416,0.000844253,0.000844253,0.000844253
126,100.174,0.26073,0.25278,0.80107,0.98877,1,0.995,0.93004,0.31362,0.2452,0.76556,0.000839537,0.000839537,0.000839537
127,101.013,0.28163,0.25882,0.81007,0.99489,1,0.995,0.94637,0.30182,0.25928,0.76117,0.000834822,0.000834822,0.000834822
128,101.785,0.27663,0.24921,0.79636,0.98983,1,0.995,0.93372,0.29013,0.2469,0.76235,0.000830106,0.000830106,0.000830106
129,102.547,0.28761,0.27658,0.80786,0.98983,1,0.995,0.93372,0.29013,0.2469,0.76235,0.00082539,0.00082539,0.00082539
130,103.322,0.31064,0.26245,0.79412,0.98642,1,0.995,0.92619,0.29711,0.24639,0.76326,0.000820675,0.000820675,0.000820675
131,104.155,0.2874,0.26568,0.80048,0.98472,1,0.995,0.94068,0.29028,0.24293,0.76376,0.000815959,0.000815959,0.000815959
132,104.927,0.26896,0.23847,0.79955,0.98722,1,0.995,0.94826,0.30669,0.22507,0.76242,0.000811243,0.000811243,0.000811243
133,105.683,0.29502,0.23284,0.79224,0.98722,1,0.995,0.94826,0.30669,0.22507,0.76242,0.000806528,0.000806528,0.000806528
134,106.474,0.27211,0.24137,0.77443,0.97958,1,0.995,0.93048,0.29675,0.25599,0.76042,0.000801812,0.000801812,0.000801812
135,107.295,0.2908,0.27019,0.80131,0.97069,1,0.995,0.9456,0.27986,0.30266,0.75943,0.000797096,0.000797096,0.000797096
136,108.16,0.26415,0.26372,0.79894,0.98709,1,0.995,0.93406,0.30123,0.30361,0.75815,0.00079238,0.00079238,0.00079238
137,108.921,0.26461,0.24789,0.79524,0.98709,1,0.995,0.93406,0.30123,0.30361,0.75815,0.000787665,0.000787665,0.000787665
138,109.745,0.30597,0.25609,0.8001,0.98913,1,0.995,0.94061,0.28544,0.27039,0.76132,0.000782949,0.000782949,0.000782949
139,110.541,0.26104,0.26579,0.80359,0.98895,1,0.995,0.94154,0.27893,0.24079,0.76181,0.000778233,0.000778233,0.000778233
140,111.318,0.28122,0.24068,0.79627,0.9866,1,0.995,0.95464,0.27983,0.21464,0.76347,0.000773518,0.000773518,0.000773518
141,112.082,0.30182,0.27522,0.8068,0.9866,1,0.995,0.95464,0.27983,0.21464,0.76347,0.000768802,0.000768802,0.000768802
142,112.917,0.26709,0.25605,0.79633,0.98554,1,0.995,0.93673,0.25483,0.2159,0.76379,0.000764086,0.000764086,0.000764086
143,113.695,0.23821,0.22455,0.78761,0.98671,1,0.995,0.92242,0.27528,0.22237,0.76283,0.000759371,0.000759371,0.000759371
144,114.469,0.24523,0.2222,0.79542,0.98565,1,0.995,0.94309,0.27254,0.22454,0.76251,0.000754655,0.000754655,0.000754655
145,115.229,0.24887,0.23549,0.80499,0.98565,1,0.995,0.94309,0.27254,0.22454,0.76251,0.000749939,0.000749939,0.000749939
146,116.172,0.24751,0.24503,0.79259,0.98389,1,0.995,0.93886,0.27986,0.22862,0.76713,0.000745223,0.000745223,0.000745223
147,116.941,0.24002,0.22271,0.8006,0.98423,1,0.995,0.95293,0.26381,0.22403,0.76775,0.000740508,0.000740508,0.000740508
148,117.715,0.23995,0.23539,0.79572,0.98745,1,0.995,0.95349,0.23389,0.20562,0.76231,0.000735792,0.000735792,0.000735792
149,118.489,0.27155,0.24853,0.80627,0.98745,1,0.995,0.95349,0.23389,0.20562,0.76231,0.000731076,0.000731076,0.000731076
150,119.308,0.24819,0.24506,0.78828,0.989,1,0.995,0.95429,0.26401,0.2236,0.76088,0.000726361,0.000726361,0.000726361
151,120.08,0.27036,0.25676,0.81351,0.98772,1,0.995,0.94528,0.27749,0.24345,0.75911,0.000721645,0.000721645,0.000721645
152,120.854,0.26303,0.27633,0.81606,0.98708,1,0.995,0.94364,0.27435,0.22823,0.76265,0.000716929,0.000716929,0.000716929
153,121.662,0.24487,0.23129,0.80738,0.98708,1,0.995,0.94364,0.27435,0.22823,0.76265,0.000712214,0.000712214,0.000712214
154,122.467,0.23657,0.22926,0.81033,0.9873,1,0.995,0.94053,0.24769,0.22215,0.76519,0.000707498,0.000707498,0.000707498
155,123.239,0.25624,0.24567,0.78639,0.98832,1,0.995,0.93794,0.25711,0.22389,0.76479,0.000702782,0.000702782,0.000702782
156,124.112,0.24487,0.22978,0.80632,0.9908,1,0.995,0.94143,0.2696,0.23756,0.76875,0.000698066,0.000698066,0.000698066
157,124.944,0.25599,0.2276,0.79166,0.9908,1,0.995,0.94143,0.2696,0.23756,0.76875,0.000693351,0.000693351,0.000693351
158,125.727,0.26397,0.23266,0.77997,0.99111,1,0.995,0.94002,0.25281,0.22753,0.77092,0.000688635,0.000688635,0.000688635
159,126.497,0.27219,0.24736,0.80066,0.991,1,0.995,0.96267,0.23615,0.20804,0.76882,0.000683919,0.000683919,0.000683919
160,127.274,0.2564,0.22961,0.80019,0.98996,1,0.995,0.96005,0.24709,0.2086,0.76727,0.000679204,0.000679204,0.000679204
161,128.099,0.23401,0.21759,0.80689,0.98996,1,0.995,0.96005,0.24709,0.2086,0.76727,0.000674488,0.000674488,0.000674488
162,128.87,0.23603,0.23058,0.80521,0.98854,1,0.995,0.94443,0.26682,0.21143,0.76765,0.000669772,0.000669772,0.000669772
163,129.642,0.24302,0.21954,0.80024,0.98698,1,0.995,0.93806,0.27241,0.20725,0.76895,0.000665057,0.000665057,0.000665057
164,130.44,0.25768,0.25264,0.78027,0.98674,1,0.995,0.9299,0.2704,0.22175,0.76735,0.000660341,0.000660341,0.000660341
165,131.258,0.23453,0.22624,0.79482,0.98674,1,0.995,0.9299,0.2704,0.22175,0.76735,0.000655625,0.000655625,0.000655625
166,132.03,0.24229,0.22832,0.79998,0.98878,1,0.995,0.94998,0.26458,0.22304,0.7669,0.000650909,0.000650909,0.000650909
167,132.91,0.26352,0.26711,0.81812,0.98932,1,0.995,0.95861,0.24573,0.21531,0.76415,0.000646194,0.000646194,0.000646194
168,133.738,0.23042,0.21248,0.7694,0.98868,1,0.995,0.94975,0.2549,0.22287,0.7633,0.000641478,0.000641478,0.000641478
169,134.528,0.23957,0.206,0.79318,0.98868,1,0.995,0.94975,0.2549,0.22287,0.7633,0.000636762,0.000636762,0.000636762
170,135.306,0.23267,0.21349,0.77532,0.98817,1,0.995,0.94118,0.26184,0.21883,0.76023,0.000632047,0.000632047,0.000632047
171,136.085,0.24308,0.2309,0.81846,0.98605,1,0.995,0.94515,0.2645,0.22119,0.76145,0.000627331,0.000627331,0.000627331
172,136.925,0.21955,0.19523,0.77842,0.98501,1,0.995,0.93442,0.24583,0.23012,0.76249,0.000622615,0.000622615,0.000622615
173,137.696,0.23215,0.21593,0.79339,0.98501,1,0.995,0.93442,0.24583,0.23012,0.76249,0.0006179,0.0006179,0.0006179
174,138.472,0.24208,0.20713,0.78691,0.98885,1,0.995,0.94777,0.2165,0.21053,0.76521,0.000613184,0.000613184,0.000613184
175,139.249,0.23441,0.20217,0.7855,0.98731,1,0.995,0.95014,0.21791,0.20843,0.76567,0.000608468,0.000608468,0.000608468
176,140.108,0.21244,0.18861,0.77575,0.98862,1,0.995,0.95374,0.22811,0.20262,0.76531,0.000603752,0.000603752,0.000603752
177,140.882,0.22075,0.19645,0.80596,0.98862,1,0.995,0.95374,0.22811,0.20262,0.76531,0.000599037,0.000599037,0.000599037
178,141.758,0.21531,0.19021,0.7923,0.99146,1,0.995,0.93313,0.24791,0.20371,0.76358,0.000594321,0.000594321,0.000594321
179,142.569,0.21703,0.20745,0.77518,0.99067,1,0.995,0.94879,0.2516,0.20759,0.76122,0.000589605,0.000589605,0.000589605
180,143.391,0.23124,0.19705,0.80166,0.98979,1,0.995,0.94913,0.24802,0.20793,0.76073,0.00058489,0.00058489,0.00058489
181,144.149,0.21337,0.19329,0.77935,0.98979,1,0.995,0.94913,0.24802,0.20793,0.76073,0.000580174,0.000580174,0.000580174
182,144.919,0.22967,0.20846,0.7927,0.98954,1,0.995,0.95521,0.24936,0.21606,0.76095,0.000575458,0.000575458,0.000575458
183,145.739,0.21637,0.23859,0.78587,0.98991,1,0.995,0.95749,0.23527,0.20988,0.76016,0.000570743,0.000570743,0.000570743
184,146.532,0.21668,0.22262,0.77562,0.99171,1,0.995,0.94881,0.24643,0.19866,0.76005,0.000566027,0.000566027,0.000566027
185,147.295,0.22734,0.20325,0.79781,0.99171,1,0.995,0.94881,0.24643,0.19866,0.76005,0.000561311,0.000561311,0.000561311
186,148.071,0.22761,0.21822,0.77767,0.98821,1,0.995,0.95879,0.25773,0.2028,0.75812,0.000556595,0.000556595,0.000556595
187,148.921,0.22151,0.19834,0.78673,0.98773,1,0.995,0.96277,0.24982,0.21133,0.75773,0.00055188,0.00055188,0.00055188
188,149.799,0.228,0.20593,0.78897,0.98718,1,0.995,0.95377,0.25404,0.20068,0.75991,0.000547164,0.000547164,0.000547164
189,150.563,0.21074,0.19422,0.7923,0.98718,1,0.995,0.95377,0.25404,0.20068,0.75991,0.000542448,0.000542448,0.000542448
190,151.349,0.20618,0.20285,0.81203,0.99038,1,0.995,0.956,0.25939,0.21354,0.76134,0.000537733,0.000537733,0.000537733
191,152.186,0.23502,0.20904,0.79105,0.98671,1,0.995,0.95055,0.25833,0.2109,0.76122,0.000533017,0.000533017,0.000533017
