epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,23.8207,0.40652,0.44074,0.82151,0.9142,1,0.995,0.92229,0.38344,0.37893,0.806,0.000359978,0.000359978,0.000359978
55,24.2593,0.39296,0.44598,0.80106,0.9142,1,0.995,0.92229,0.38344,0.37893,0.806,0.000359131,0.000359131,0.000359131
56,24.7008,0.37172,0.45894,0.81779,0.9142,1,0.995,0.92229,0.38344,0.37893,0.806,0.000358,0.000358,0.000358
57,25.1834,0.31291,0.42534,0.80823,0.88945,1,0.995,0.8843,0.4249,0.39063,0.8179,0.000356587,0.000356587,0.000356587
58,25.6254,0.34037,0.46368,0.82911,0.88945,1,0.995,0.8843,0.4249,0.39063,0.8179,0.000354891,0.000354891,0.000354891
59,26.0462,0.33549,0.39975,0.80346,0.88945,1,0.995,0.8843,0.4249,0.39063,0.8179,0.000352912,0.000352912,0.000352912
60,26.4751,0.35184,0.53057,0.8331,0.95,0.87384,0.9813,0.88323,0.39952,0.39018,0.8105,0.000350649,0.000350649,0.000350649
61,26.8771,0.36718,0.43027,0.80394,0.95,0.87384,0.9813,0.88323,0.39952,0.39018,0.8105,0.000348104,0.000348104,0.000348104
62,27.291,0.31165,0.39902,0.80532,0.95,0.87384,0.9813,0.88323,0.39952,0.39018,0.8105,0.000345276,0.000345276,0.000345276
63,27.7139,0.31371,0.41766,0.80172,0.87152,1,0.995,0.86573,0.37557,0.3887,0.80006,0.000342165,0.000342165,0.000342165
64,28.145,0.32488,0.3985,0.77857,0.87152,1,0.995,0.86573,0.37557,0.3887,0.80006,0.000338772,0.000338772,0.000338772
65,28.5834,0.33254,0.44334,0.79157,0.87152,1,0.995,0.86573,0.37557,0.3887,0.80006,0.000335095,0.000335095,0.000335095
66,29.0192,0.30886,0.39215,0.78101,0.90139,1,0.995,0.84355,0.40465,0.37218,0.8058,0.000331135,0.000331135,0.000331135
67,29.418,0.33094,0.35813,0.8,0.90139,1,0.995,0.84355,0.40465,0.37218,0.8058,0.000326892,0.000326892,0.000326892
68,29.8304,0.32407,0.4527,0.8181,0.90139,1,0.995,0.84355,0.40465,0.37218,0.8058,0.000322367,0.000322367,0.000322367
69,30.2527,0.31739,0.35608,0.79095,0.93396,1,0.995,0.86588,0.39515,0.34188,0.80226,0.000317558,0.000317558,0.000317558
70,30.6676,0.37013,0.42156,0.80009,0.93396,1,0.995,0.86588,0.39515,0.34188,0.80226,0.000312467,0.000312467,0.000312467
71,31.0968,0.32225,0.37589,0.79842,0.93396,1,0.995,0.86588,0.39515,0.34188,0.80226,0.000307092,0.000307092,0.000307092
72,31.5482,0.32838,0.38811,0.80324,0.94625,0.99634,0.995,0.87687,0.37945,0.3182,0.79627,0.000301435,0.000301435,0.000301435
73,31.968,0.30866,0.33892,0.81276,0.94625,0.99634,0.995,0.87687,0.37945,0.3182,0.79627,0.000295494,0.000295494,0.000295494
74,32.3903,0.34271,0.37361,0.82432,0.94625,0.99634,0.995,0.87687,0.37945,0.3182,0.79627,0.000289271,0.000289271,0.000289271
75,32.8142,0.31768,0.39327,0.84344,0.95104,0.99603,0.995,0.86293,0.39346,0.31487,0.79525,0.000282765,0.000282765,0.000282765
76,33.2239,0.28301,0.38364,0.84004,0.95104,0.99603,0.995,0.86293,0.39346,0.31487,0.79525,0.000275976,0.000275976,0.000275976
77,33.6345,0.35212,0.42939,0.83643,0.95104,0.99603,0.995,0.86293,0.39346,0.31487,0.79525,0.000268904,0.000268904,0.000268904
78,34.0734,0.32498,0.39093,0.82611,0.95394,0.99734,0.995,0.87405,0.37001,0.29936,0.79282,0.000261548,0.000261548,0.000261548
79,34.5024,0.28143,0.34376,0.80747,0.95394,0.99734,0.995,0.87405,0.37001,0.29936,0.79282,0.00025391,0.00025391,0.00025391
80,34.9362,0.31391,0.42521,0.81317,0.95394,0.99734,0.995,0.87405,0.37001,0.29936,0.79282,0.000245989,0.000245989,0.000245989
81,35.3655,0.32262,0.39654,0.78697,0.95911,0.99911,0.995,0.86827,0.37157,0.30886,0.79245,0.000237786,0.000237786,0.000237786
82,35.7791,0.28429,0.35519,0.82206,0.95911,0.99911,0.995,0.86827,0.37157,0.30886,0.79245,0.000229299,0.000229299,0.000229299
83,36.1957,0.32972,0.35461,0.81064,0.95911,0.99911,0.995,0.86827,0.37157,0.30886,0.79245,0.000220529,0.000220529,0.000220529
84,36.6242,0.31243,0.3348,0.80449,0.96063,1,0.995,0.8831,0.35893,0.29495,0.79415,0.000211476,0.000211476,0.000211476
85,37.0416,0.28123,0.33625,0.79177,0.96063,1,0.995,0.8831,0.35893,0.29495,0.79415,0.000202141,0.000202141,0.000202141
86,37.4899,0.28641,0.34632,0.81225,0.96063,1,0.995,0.8831,0.35893,0.29495,0.79415,0.000192522,0.000192522,0.000192522
87,37.9245,0.33699,0.38048,0.8326,0.96063,1,0.995,0.8831,0.35893,0.29495,0.79415,0.00018262,0.00018262,0.00018262
88,38.3529,0.25944,0.31303,0.78344,0.96349,1,0.995,0.91972,0.33945,0.27372,0.7958,0.000172436,0.000172436,0.000172436
89,38.7659,0.27505,0.3759,0.79388,0.96349,1,0.995,0.91972,0.33945,0.27372,0.7958,0.000161969,0.000161969,0.000161969
90,39.1836,0.31675,0.3455,0.77472,0.96349,1,0.995,0.91972,0.33945,0.27372,0.7958,0.000151218,0.000151218,0.000151218
91,40.0668,0.31569,0.36885,0.79939,0.96349,1,0.995,0.91972,0.33945,0.27372,0.7958,0.000140185,0.000140185,0.000140185
92,40.5639,0.28382,0.36545,0.79211,0.9658,1,0.995,0.93618,0.31749,0.28341,0.79012,0.000128869,0.000128869,0.000128869
93,41.0404,0.28205,0.3471,0.75871,0.9658,1,0.995,0.93618,0.31749,0.28341,0.79012,0.000117269,0.000117269,0.000117269
94,41.4987,0.24734,0.3538,0.78143,0.9658,1,0.995,0.93618,0.31749,0.28341,0.79012,0.000105387,0.000105387,0.000105387
95,41.9371,0.2728,0.34887,0.76822,0.9658,1,0.995,0.93618,0.31749,0.28341,0.79012,9.32222e-05,9.32222e-05,9.32222e-05
96,42.3854,0.26762,0.32928,0.74761,0.96779,1,0.995,0.94107,0.2822,0.26826,0.78819,8.07742e-05,8.07742e-05,8.07742e-05
97,42.8231,0.26328,0.33806,0.7744,0.96779,1,0.995,0.94107,0.2822,0.26826,0.78819,6.80433e-05,6.80433e-05,6.80433e-05
98,43.2928,0.25199,0.35106,0.7816,0.96779,1,0.995,0.94107,0.2822,0.26826,0.78819,5.50294e-05,5.50294e-05,5.50294e-05
99,43.7577,0.26506,0.35243,0.80443,0.96779,1,0.995,0.94107,0.2822,0.26826,0.78819,4.17325e-05,4.17325e-05,4.17325e-05
100,44.2254,0.24929,0.3355,0.77194,0.97014,1,0.995,0.94606,0.2695,0.26026,0.7857,2.81527e-05,2.81527e-05,2.81527e-05
